samlpe:1
direct band gap: wevelength=251.729549238nm energy=4.92592150487eV
	linear fit coefficient: slope=3302.67616762 intercept=-16268.7235577 r=0.990583817164
indirect band gap: wevelength=268.535431803nm energy=4.61764018131eV
	linear fit coefficient: slope=9.88591908185 intercept=-45.6496171816 r=0.994073460789
datas:
wavelength	R	hv	F(R)	(hvF(R))^2	(hvF(R))^1/2
309.0	0.84892	4.01294498382	0.0134436498139	0.00291045436434	0.232268437556
309.5	0.86824	4.00646203554	0.00999763751958	0.00160441545548	0.200137840418
310.0	0.87514	4.0	0.00890715748337	0.00126939927094	0.188755476566
310.5	0.88403	3.99355877617	0.00760666544122	0.000922802563061	0.174291897489
311.0	0.88182	3.98713826367	0.00791914018734	0.00099696211306	0.17769273158
311.5	0.86223	3.98073836276	0.0110066762349	0.00191972779016	0.209319608099
312.0	0.84436	3.97435897436	0.0143444796059	0.0032501527852	0.238767902479
312.5	0.84212	3.968	0.0147996095568	0.00344860809226	0.242332108317
313.0	0.85269	3.96166134185	0.0127245752266	0.00254121425226	0.224522733296
313.5	0.86697	3.95534290271	0.0102062244945	0.00162966565724	0.200920674939
314.0	0.88791	3.94904458599	0.00707513604982	0.000780645148586	0.167152707764
314.5	0.87839	3.94276629571	0.00841823796947	0.00110165210211	0.182184370722
315.0	0.87637	3.93650793651	0.00872027619613	0.00117837289354	0.185276648433
315.5	0.87617	3.93026941363	0.0087505101179	0.0011828001904	0.185450430763
316.0	0.85803	3.92405063291	0.0117452075685	0.00212417648926	0.214682996981
316.5	0.86676	3.91785150079	0.0102409534358	0.00160981779781	0.200306102723
317.0	0.86194	3.91167192429	0.0110567809824	0.00187060572793	0.207967544925
317.5	0.86133	3.90551181102	0.0111626025449	0.00190058297295	0.208795776013
318.0	0.87062	3.89937106918	0.00961337001218	0.00140520746101	0.19361326634
318.5	0.87341	3.89324960754	0.00917382907226	0.00127563311568	0.188986789049
319.0	0.8739	3.88714733542	0.00909784300263	0.00125065890714	0.18805492864
319.5	0.87474	3.88106416275	0.00896841781558	0.00121152759572	0.186566355436
320.0	0.87541	3.875	0.00886594173016	0.00118030204336	0.185352432421
320.5	0.87062	3.86895475819	0.00961337001218	0.00138337084739	0.192856666078
321.0	0.87285	3.86292834891	0.00926111158847	0.0012798513761	0.189142830944
321.5	0.86919	3.85692068429	0.00984321960676	0.00144130457392	0.194844854439
322.0	0.88403	3.85093167702	0.00760666544122	0.000858065138357	0.171151245698
322.5	0.8815	3.84496124031	0.00796497447533	0.000937891735934	0.175000051822
323.0	0.88492	3.83900928793	0.00748282692221	0.000825219963716	0.169489356758
323.5	0.88695	3.83307573416	0.00720463526693	0.000762638629565	0.166180361701
324.0	0.86711	3.82716049383	0.0101831094671	0.0015188475141	0.197414270651
324.5	0.86234	3.82126348228	0.0109877053134	0.0017629012049	0.204907093748
325.0	0.85588	3.81538461538	0.0121340458943	0.00214332443333	0.215165173826
325.5	0.8531	3.80952380952	0.0126477611066	0.00232150002371	0.219503865735
326.0	0.85974	3.8036809816	0.0114411726801	0.00189386601583	0.208611051794
326.5	0.86909	3.797856049	0.0098594093247	0.00140209936799	0.19350611707
327.0	0.8782	3.79204892966	0.00844639034389	0.00102586487793	0.178966827829
327.5	0.8746	3.78625954198	0.00898991538989	0.00115859585466	0.184494316787
328.0	0.87978	3.78048780488	0.00821389915661	0.000964260587746	0.176217324892
328.5	0.86729	3.77473363775	0.0101534343184	0.0014689213734	0.195771576232
329.0	0.86096	3.76899696049	0.0112270730348	0.00179054264967	0.205705624967
329.5	0.87483	3.76327769347	0.00895461341061	0.00113560217288	0.183572048259
330.0	0.86916	3.75757575758	0.00984807492291	0.00136936170548	0.19236654488
330.5	0.8835	3.75189107413	0.00768095642332	0.000830483570335	0.169758981634
331.0	0.87654	3.74622356495	0.00869462409017	0.00106093555239	0.180477161034
331.5	0.871	3.74057315234	0.00955281285878	0.00127684695374	0.189031730958
332.0	0.88676	3.73493975904	0.00723042176012	0.000729280271082	0.164332558267
332.5	0.88466	3.72932330827	0.00751888612574	0.000786261636444	0.167452552327
333.0	0.89546	3.72372372372	0.00610223326558	0.000516336127772	0.150741602681
333.5	0.89151	3.71814092954	0.00660120475373	0.000602418223863	0.156665917095
334.0	0.88132	3.7125748503	0.00799082194889	0.000880102681883	0.17223973003
334.5	0.88106	3.70702541106	0.00802824075545	0.000885710721598	0.172513455958
335.0	0.88788	3.70149253731	0.00707916294995	0.000686621778707	0.161874855458
335.5	0.90211	3.69597615499	0.00531113284411	0.000385329846888	0.140106460764
336.0	0.91035	3.69047619048	0.00441430356456	0.000265392842937	0.127635740302
336.5	0.90448	3.68499257058	0.00504382098001	0.000345455857395	0.136332104945
337.0	0.90622	3.67952522255	0.00485240250712	0.000318784506301	0.133620871928
337.5	0.89427	3.67407407407	0.00625025601888	0.000527340868333	0.15153845583
338.0	0.87601	3.66863905325	0.00877474007146	0.00103628327933	0.179419491997
338.5	0.86292	3.66322008863	0.0108879886896	0.00159082111365	0.199712540649
339.0	0.84401	3.65781710914	0.014415042535	0.00278019866429	0.229624888054
339.5	0.84904	3.65243004418	0.0134204051635	0.00240267521247	0.221398037535
340.0	0.85938	3.64705882353	0.0115047967139	0.00176053001908	0.204838156525
340.5	0.87727	3.64170337739	0.00858495839365	0.000977429690987	0.176815926819
341.0	0.88977	3.63636363636	0.006827974027	0.0006164790653	0.157572194444
341.5	0.9046	3.63103953148	0.00503048861375	0.000333643213106	0.135151407759
342.0	0.90727	3.62573099415	0.00473886103365	0.000295215465193	0.131079500025
342.5	0.91206	3.6204379562	0.00423954761748	0.000235592387684	0.123891158326
343.0	0.9093	3.61516034985	0.00452352908831	0.000267429864926	0.127879955433
343.5	0.88696	3.60989810771	0.00720327951655	0.000676161474641	0.161254783173
344.0	0.88324	3.60465116279	0.0077175499298	0.000773900952125	0.166790513304
344.5	0.88817	3.59941944848	0.00704029009086	0.000642164105526	0.159188432607
345.0	0.89339	3.59420289855	0.00636099133637	0.000522702754022	0.151204145111
345.5	0.90352	3.58900144718	0.00515118115814	0.000341791229199	0.135969101752
346.0	0.89836	3.5838150289	0.00574974932098	0.000424608803251	0.143548033874
346.5	0.89232	3.57864357864	0.00649709879864	0.000540599742285	0.152482133037
347.0	0.88737	3.5734870317	0.0071478170887	0.000652426032703	0.159820623423
347.5	0.87624	3.56834532374	0.0087399214827	0.000972632583742	0.176598578569
348.0	0.87436	3.5632183908	0.0090268365433	0.0010345608487	0.179344891151
348.5	0.88278	3.5581061693	0.00778253268085	0.000766795775575	0.166406362692
349.0	0.88428	3.55300859599	0.00757176369476	0.000723746738851	0.164019942368
349.5	0.89886	3.54792560801	0.00569015174777	0.000407564836428	0.142085309231
350.0	0.90863	3.54285714286	0.00459399144866	0.000264903469592	0.127576860826
350.5	0.90993	3.53780313837	0.00445781812887	0.000248720749546	0.12558217615
351.0	0.91364	3.53276353276	0.0040815034368	0.000207907171698	0.120079084359
351.5	0.91576	3.52773826458	0.00387458373373	0.000186828365093	0.116912434312
352.0	0.91464	3.52272727273	0.00398316802239	0.000196886208966	0.118455116497
352.5	0.89915	3.51773049645	0.00565574292387	0.000395826120014	0.141050981434
353.0	0.88672	3.51274787535	0.0072358570913	0.000646061589256	0.159429425213
353.5	0.883	3.50777934936	0.00775141562854	0.000739310003407	0.164894680539
354.0	0.88731	3.50282485876	0.0071559185065	0.000628300808254	0.158322232273
354.5	0.89355	3.49788434415	0.00634077695708	0.000491921545793	0.148927178339
355.0	0.90616	3.49295774648	0.00485893528737	0.000288050673043	0.130276842346
355.5	0.91003	3.48804500703	0.00444743629331	0.000240648761993	0.124550624073
356.0	0.90919	3.48314606742	0.00453505653384	0.000249521966826	0.125683190329
