"Storage 193957 - RawData - F:\201701009\2017-2896\1.spc"
"²¨³¤(nm)","T%"
711.00,93.123
711.50,93.251
712.00,93.382
712.50,93.546
713.00,93.582
713.50,93.393
714.00,93.349
714.50,93.124
715.00,93.076
715.50,93.098
716.00,93.082
716.50,93.185
717.00,93.115
717.50,93.239
718.00,93.240
718.50,93.330
719.00,93.501
719.50,93.582
720.00,93.561
720.50,93.599
721.00,93.468
721.50,93.359
722.00,93.457
722.50,93.306
723.00,93.385
723.50,93.353
724.00,93.442
724.50,93.585
725.00,93.649
725.50,93.814
726.00,93.712
726.50,93.584
727.00,93.546
727.50,93.404
728.00,93.520
728.50,93.666
729.00,93.825
729.50,93.820
730.00,93.770
730.50,93.752
731.00,93.526
731.50,93.790
732.00,93.968
732.50,94.157
733.00,94.289
733.50,94.168
734.00,93.919
734.50,93.759
735.00,93.855
735.50,94.051
736.00,94.312
736.50,94.139
737.00,94.191
737.50,93.825
738.00,93.698
738.50,93.877
739.00,93.930
739.50,94.226
740.00,94.286
740.50,94.339
741.00,94.376
741.50,94.405
742.00,94.247
742.50,94.333
743.00,94.258
743.50,94.272
744.00,94.299
744.50,94.302
745.00,94.389
745.50,94.028
746.00,93.889
746.50,93.707
747.00,93.336
747.50,93.597
748.00,93.898
748.50,93.942
749.00,93.900
749.50,93.805
750.00,93.839
750.50,94.054
751.00,94.357
751.50,94.403
752.00,94.489
752.50,94.270
753.00,94.318
753.50,94.672
754.00,94.566
754.50,94.829
755.00,94.868
755.50,94.583
756.00,94.429
756.50,94.193
757.00,93.784
757.50,93.822
758.00,94.170
758.50,94.272
759.00,94.630
759.50,94.797
760.00,94.792
760.50,94.855
761.00,95.032
761.50,94.960
762.00,94.893
762.50,94.978
763.00,94.788
763.50,94.919
764.00,94.855
764.50,94.608
765.00,94.661
765.50,94.560
766.00,94.551
766.50,94.635
767.00,94.643
767.50,94.637
768.00,94.562
768.50,94.691
769.00,94.553
769.50,94.421
770.00,94.577
770.50,94.455
771.00,94.623
771.50,94.731
772.00,94.780
772.50,94.875
773.00,94.888
773.50,94.884
774.00,94.789
774.50,94.847
775.00,95.255
775.50,95.746
776.00,95.847
776.50,95.976
777.00,95.544
777.50,95.181
778.00,94.815
778.50,94.608
779.00,94.589
779.50,94.632
780.00,94.865
780.50,94.820
781.00,95.038
781.50,94.856
782.00,95.071
782.50,95.068
783.00,94.966
783.50,95.305
784.00,95.389
784.50,95.219
785.00,95.363
785.50,95.163
786.00,94.908
786.50,95.152
787.00,95.145
787.50,95.300
788.00,95.753
788.50,95.998
789.00,96.051
789.50,95.900
790.00,95.689
790.50,95.558
791.00,95.395
791.50,95.572
792.00,95.482
792.50,95.575
793.00,95.529
793.50,95.428
794.00,95.216
794.50,95.151
795.00,95.201
795.50,95.258
796.00,95.351
796.50,94.960
797.00,94.688
797.50,94.394
798.00,94.405
798.50,94.807
799.00,94.818
799.50,94.899
800.00,94.881
